"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"1400000US13051002700","Census Tract 27, Chatham County, Georgia","337","2782",
"1400000US13051002800","Census Tract 28, Chatham County, Georgia","542","3061",
"1400000US13051002900","Census Tract 29, Chatham County, Georgia","318","2876",
"1400000US13051003000","Census Tract 30, Chatham County, Georgia","227","1924",
"1400000US13051003301","Census Tract 33.01, Chatham County, Georgia","501","2030",
"1400000US13051003302","Census Tract 33.02, Chatham County, Georgia","250","1748",
"1400000US13051003400","Census Tract 34, Chatham County, Georgia","407","4079",
"1400000US13051003501","Census Tract 35.01, Chatham County, Georgia","406","2286",
"1400000US13051003502","Census Tract 35.02, Chatham County, Georgia","478","3775",
"1400000US13051003601","Census Tract 36.01, Chatham County, Georgia","406","3099",
"1400000US13051003602","Census Tract 36.02, Chatham County, Georgia","590","5094",
"1400000US13051003700","Census Tract 37, Chatham County, Georgia","335","1669",
"1400000US13051003800","Census Tract 38, Chatham County, Georgia","426","2667",
"1400000US13051003900","Census Tract 39, Chatham County, Georgia","363","4284",
"1400000US13051004001","Census Tract 40.01, Chatham County, Georgia","581","4726",
"1400000US13051004002","Census Tract 40.02, Chatham County, Georgia","495","3378",
"1400000US13051004100","Census Tract 41, Chatham County, Georgia","219","1853",
"1400000US13051004207","Census Tract 42.07, Chatham County, Georgia","502","4126",
"1400000US13051004208","Census Tract 42.08, Chatham County, Georgia","669","5407",
"1400000US13051004209","Census Tract 42.09, Chatham County, Georgia","504","3546",
"1400000US13051004210","Census Tract 42.10, Chatham County, Georgia","441","3997",
"1400000US13051004211","Census Tract 42.11, Chatham County, Georgia","464","4794",
"1400000US13051004212","Census Tract 42.12, Chatham County, Georgia","1285","5719",
"1400000US13051004300","Census Tract 43, Chatham County, Georgia","259","1565",
"1400000US13051004400","Census Tract 44, Chatham County, Georgia","400","2627",
"1400000US13051004500","Census Tract 45, Chatham County, Georgia","365","4151",
"1400000US13051010101","Census Tract 101.01, Chatham County, Georgia","342","1232",
"1400000US13051010102","Census Tract 101.02, Chatham County, Georgia","179","3215",
"1400000US13051010200","Census Tract 102, Chatham County, Georgia","300","4321",
"1400000US13051010501","Census Tract 105.01, Chatham County, Georgia","965","5300",
"1400000US13051010502","Census Tract 105.02, Chatham County, Georgia","427","4372",
"1400000US13051010601","Census Tract 106.01, Chatham County, Georgia","460","4849",
"1400000US13051010603","Census Tract 106.03, Chatham County, Georgia","235","1446",
"1400000US13051010605","Census Tract 106.05, Chatham County, Georgia","132","0",
"1400000US13051010700","Census Tract 107, Chatham County, Georgia","877","12393",
"1400000US13051010801","Census Tract 108.01, Chatham County, Georgia","213","2552",
"1400000US13051010802","Census Tract 108.02, Chatham County, Georgia","622","5819",
"1400000US13051010803","Census Tract 108.03, Chatham County, Georgia","518","10384",
"1400000US13051010806","Census Tract 108.06, Chatham County, Georgia","512","5840",
"1400000US13051010807","Census Tract 108.07, Chatham County, Georgia","508","5547",
"1400000US13051010808","Census Tract 108.08, Chatham County, Georgia","621","7490",
"1400000US13051010809","Census Tract 108.09, Chatham County, Georgia","754","8405",
"1400000US13051010901","Census Tract 109.01, Chatham County, Georgia","589","4407",
"1400000US13051011003","Census Tract 110.03, Chatham County, Georgia","428","5330",
"1400000US13051011004","Census Tract 110.04, Chatham County, Georgia","260","3492",
"1400000US13051011005","Census Tract 110.05, Chatham County, Georgia","208","4446",
"1400000US13051011006","Census Tract 110.06, Chatham County, Georgia","238","3668",
"1400000US13051011103","Census Tract 111.03, Chatham County, Georgia","153","3351",
"1400000US13051011104","Census Tract 111.04, Chatham County, Georgia","484","5748",
"1400000US13051011106","Census Tract 111.06, Chatham County, Georgia","447","5736",
"1400000US13051011107","Census Tract 111.07, Chatham County, Georgia","215","3210",
"1400000US13051011108","Census Tract 111.08, Chatham County, Georgia","223","3114",
"1400000US13051011109","Census Tract 111.09, Chatham County, Georgia","474","6987",
"1400000US13051011200","Census Tract 112, Chatham County, Georgia","495","2120",
"1400000US13051011300","Census Tract 113, Chatham County, Georgia","481","2427",
"1400000US13051011400","Census Tract 114, Chatham County, Georgia","307","1850",
"1400000US13051011500","Census Tract 115, Chatham County, Georgia","234","2723",
"1400000US13051011600","Census Tract 116, Chatham County, Georgia","372","2199",
"1400000US13051980000","Census Tract 9800, Chatham County, Georgia","132","0",
"1400000US13051990000","Census Tract 9900, Chatham County, Georgia","132","0",
"1400000US13053020100","Census Tract 201, Chattahoochee County, Georgia","582","3016",
"1400000US13053020201","Census Tract 202.01, Chattahoochee County, Georgia","769","3971",
"1400000US13053020203","Census Tract 202.03, Chattahoochee County, Georgia","370","1553",
"1400000US13053020205","Census Tract 202.05, Chattahoochee County, Georgia","508","2736",
