"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US13121010528","Census Tract 105.28, Fulton County, Georgia","3929","875","598","428","2803","896","0","14","0","14","0","14","356","323","172","238","0","14","172","238",
"1400000US13121010529","Census Tract 105.29, Fulton County, Georgia","5063","759","183","100","4680","784","0","20","0","20","0","20","0","20","200","208","103","176","97","102",
"1400000US13121010530","Census Tract 105.30, Fulton County, Georgia","3088","804","101","93","2824","794","0","14","24","41","70","92","56","99","13","24","0","14","13","24",
"1400000US13121010531","Census Tract 105.31, Fulton County, Georgia","2124","347","157","164","1906","440","0","14","0","14","0","14","0","14","61","102","0","14","61","102",
"1400000US13121010532","Census Tract 105.32, Fulton County, Georgia","2758","952","0","14","2758","952","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1400000US13121010533","Census Tract 105.33, Fulton County, Georgia","1803","640","136","142","1667","684","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1400000US13121010534","Census Tract 105.34, Fulton County, Georgia","2623","797","1018","766","1385","588","0","14","56","101","0","14","27","48","137","167","101","154","36","57",
"1400000US13121010535","Census Tract 105.35, Fulton County, Georgia","1971","706","334","138","1556","684","25","41","0","14","0","14","0","14","56","97","0","14","56","97",
"1400000US13121010536","Census Tract 105.36, Fulton County, Georgia","2563","528","15","26","2548","529","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1400000US13121010537","Census Tract 105.37, Fulton County, Georgia","3862","838","246","269","3602","982","5","9","0","14","0","14","0","14","9","16","0","14","9","16",
"1400000US13121010538","Census Tract 105.38, Fulton County, Georgia","2375","479","433","183","1773","460","9","13","53","61","0","14","40","42","67","76","0","14","67","76",
"1400000US13121010539","Census Tract 105.39, Fulton County, Georgia","2994","510","101","140","2893","571","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1400000US13121010540","Census Tract 105.40, Fulton County, Georgia","4591","2927","745","343","3846","2956","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1400000US13121010601","Census Tract 106.01, Fulton County, Georgia","3673","960","1057","545","2514","788","0","14","30","32","0","14","63","79","9","12","0","14","9","12",
"1400000US13121010603","Census Tract 106.03, Fulton County, Georgia","4557","1222","33","26","4299","1208","0","14","0","14","0","14","119","144","106","94","26","42","80","83",
"1400000US13121010604","Census Tract 106.04, Fulton County, Georgia","2047","601","109","78","1835","575","7","12","19","31","0","14","0","14","77","108","61","102","16","27",
"1400000US13121010801","Census Tract 108.01, Fulton County, Georgia","2363","652","835","374","995","328","0","14","72","76","0","14","391","395","70","86","0","14","70","86",
"1400000US13121010802","Census Tract 108.02, Fulton County, Georgia","4213","650","1429","569","1456","853","0","14","118","145","0","14","94","112","1116","1054","959","1074","157","114",
"1400000US13121011000","Census Tract 110, Fulton County, Georgia","3008","661","680","270","1969","569","0","14","0","14","0","14","210","208","149","160","129","160","20","32",
"1400000US13121011100","Census Tract 111, Fulton County, Georgia","2333","318","929","238","1272","319","0","14","76","57","0","14","0","14","56","43","0","14","56","43",
"1400000US13121011202","Census Tract 112.02, Fulton County, Georgia","3862","505","1592","307","2021","496","0","14","51","53","0","14","15","24","183","126","72","83","111","96",
"1400000US13121011203","Census Tract 112.03, Fulton County, Georgia","1660","252","922","277","651","231","5","9","19","38","0","14","6","13","57","41","0","14","57","41",
"1400000US13121011204","Census Tract 112.04, Fulton County, Georgia","1293","313","29","35","1243","319","0","14","0","14","0","14","21","33","0","14","0","14","0","14",
"1400000US13121011301","Census Tract 113.01, Fulton County, Georgia","4806","676","595","266","4039","606","7","12","58","115","6","10","0","14","101","80","0","14","101","80",
"1400000US13121011306","Census Tract 113.06, Fulton County, Georgia","2602","597","118","123","2175","441","0","14","0","14","0","14","18","29","291","359","232","352","59","67",
"1400000US13121011307","Census Tract 113.07, Fulton County, Georgia","4319","782","59","46","4100","785","16","29","0","14","0","14","81","82","63","81","0","14","63","81",
"1400000US13121011308","Census Tract 113.08, Fulton County, Georgia","1746","577","21","30","1713","580","0","14","0","14","0","14","0","14","12","17","0","14","12","17",
"1400000US13121011309","Census Tract 113.09, Fulton County, Georgia","3425","396","513","259","2834","498","0","14","78","127","0","14","0","14","0","14","0","14","0","14",
"1400000US13121011310","Census Tract 113.10, Fulton County, Georgia","5329","829","798","436","4333","960","0","20","56","106","0","20","86","116","56","87","0","20","56","87",
"1400000US13121011416","Census Tract 114.16, Fulton County, Georgia","5329","627","4239","717","616","367","0","20","362","88","0","20","18","28","94","90","0","20","94","90",
"1400000US13121011417","Census Tract 114.17, Fulton County, Georgia","5097","519","3891","661","734","434","0","20","304","231","0","20","28","35","140","166","4","7","136","167",
"1400000US13121011419","Census Tract 114.19, Fulton County, Georgia","5808","633","4733","709","388","337","129","151","231","186","0","20","44","58","283","246","94","151","189","202",
"1400000US13121011421","Census Tract 114.21, Fulton County, Georgia","5661","1542","2800","1006","1809","1191","0","20","338","184","0","20","327","235","387","333","33","43","354","329",
"1400000US13121011422","Census Tract 114.22, Fulton County, Georgia","3499","492","2510","484","439","180","8","12","205","188","0","14","20","29","317","217","44","62","273","205",
"1400000US13121011423","Census Tract 114.23, Fulton County, Georgia","5781","1154","4903","1082","222","152","10","15","299","267","0","20","0","20","347","193","156","170","191","145",
"1400000US13121011424","Census Tract 114.24, Fulton County, Georgia","6178","1042","4088","852","1113","477","0","20","563","193","0","20","111","140","303","310","0","20","303","310",
"1400000US13121011426","Census Tract 114.26, Fulton County, Georgia","2728","352","2077","332","135","73","0","14","275","127","8","12","23","22","210","147","178","147","32","27",
"1400000US13121011428","Census Tract 114.28, Fulton County, Georgia","2650","354","2302","414","72","76","12","19","225","190","0","14","17","28","22","33","22","33","0","14",
"1400000US13121011429","Census Tract 114.29, Fulton County, Georgia","5241","907","3246","478","556","279","0","20","465","171","0","20","198","140","776","841","48","90","728","835",
"1400000US13121011430","Census Tract 114.30, Fulton County, Georgia","5016","723","2611","720","1493","440","0","20","49","126","0","20","505","442","358","229","0","20","358","229",
"1400000US13121011431","Census Tract 114.31, Fulton County, Georgia","3237","1785","1759","557","107","153","0","14","40","88","0","14","1237","1322","94","134","94","134","0","14",
"1400000US13121011432","Census Tract 114.32, Fulton County, Georgia","4002","543","1839","474","1320","334","119","102","421","244","0","14","225","292","78","87","12","21","66","89",
"1400000US13121011433","Census Tract 114.33, Fulton County, Georgia","2913","604","2210","650","310","232","27","29","44","61","0","14","274","251","48","68","0","14","48","68",
"1400000US13121011434","Census Tract 114.34, Fulton County, Georgia","3616","731","2315","404","344","161","0","14","216","171","0","14","274","299","467","567","467","567","0","14",
"1400000US13121011435","Census Tract 114.35, Fulton County, Georgia","3807","500","2931","465","709","422","17","32","0","14","0","14","21","37","129","114","37","56","92","104",
"1400000US13121011436","Census Tract 114.36, Fulton County, Georgia","3021","576","2190","613","446","495","0","14","64","64","0","14","250","230","71","80","0","14","71","80",
"1400000US13121011437","Census Tract 114.37, Fulton County, Georgia","2623","393","1901","324","632","281","0","14","90","121","0","14","0","14","0","14","0","14","0","14",
