"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)",
"1400000US13051010808","Census Tract 108.08, Chatham County, Georgia","49375","6941",
"1400000US13051010809","Census Tract 108.09, Chatham County, Georgia","61572","8877",
"1400000US13051010901","Census Tract 109.01, Chatham County, Georgia","31783","4226",
"1400000US13051011003","Census Tract 110.03, Chatham County, Georgia","53487","6824",
"1400000US13051011004","Census Tract 110.04, Chatham County, Georgia","86563","19018",
"1400000US13051011005","Census Tract 110.05, Chatham County, Georgia","108024","19024",
"1400000US13051011006","Census Tract 110.06, Chatham County, Georgia","105551","13348",
"1400000US13051011103","Census Tract 111.03, Chatham County, Georgia","66500","7974",
"1400000US13051011104","Census Tract 111.04, Chatham County, Georgia","57318","11580",
"1400000US13051011106","Census Tract 111.06, Chatham County, Georgia","53281","15017",
"1400000US13051011107","Census Tract 111.07, Chatham County, Georgia","65694","7129",
"1400000US13051011108","Census Tract 111.08, Chatham County, Georgia","75141","3345",
"1400000US13051011109","Census Tract 111.09, Chatham County, Georgia","74782","7649",
"1400000US13051011200","Census Tract 112, Chatham County, Georgia","39583","12629",
"1400000US13051011300","Census Tract 113, Chatham County, Georgia","18210","6103",
"1400000US13051011400","Census Tract 114, Chatham County, Georgia","21802","4774",
"1400000US13051011500","Census Tract 115, Chatham County, Georgia","68000","9170",
"1400000US13051011600","Census Tract 116, Chatham County, Georgia","35054","10889",
"1400000US13051980000","Census Tract 9800, Chatham County, Georgia","-","**",
"1400000US13051990000","Census Tract 9900, Chatham County, Georgia","-","**",
"1400000US13053020100","Census Tract 201, Chattahoochee County, Georgia","31505","4493",
"1400000US13053020201","Census Tract 202.01, Chattahoochee County, Georgia","52400","3907",
"1400000US13053020203","Census Tract 202.03, Chattahoochee County, Georgia","44041","1996",
"1400000US13053020205","Census Tract 202.05, Chattahoochee County, Georgia","46250","7707",
"1400000US13053020206","Census Tract 202.06, Chattahoochee County, Georgia","-","**",
"1400000US13055010100","Census Tract 101, Chattooga County, Georgia","40083","7077",
"1400000US13055010200","Census Tract 102, Chattooga County, Georgia","34912","4221",
"1400000US13055010300","Census Tract 103, Chattooga County, Georgia","34947","3788",
"1400000US13055010400","Census Tract 104, Chattooga County, Georgia","27788","7080",
"1400000US13055010500","Census Tract 105, Chattooga County, Georgia","26081","4170",
"1400000US13055010600","Census Tract 106, Chattooga County, Georgia","35375","6700",
"1400000US13057090100","Census Tract 901, Cherokee County, Georgia","57306","10489",
"1400000US13057090200","Census Tract 902, Cherokee County, Georgia","65407","12386",
"1400000US13057090300","Census Tract 903, Cherokee County, Georgia","83906","11197",
"1400000US13057090400","Census Tract 904, Cherokee County, Georgia","37198","5510",
"1400000US13057090501","Census Tract 905.01, Cherokee County, Georgia","65144","16141",
"1400000US13057090502","Census Tract 905.02, Cherokee County, Georgia","93625","18396",
"1400000US13057090601","Census Tract 906.01, Cherokee County, Georgia","47371","12678",
"1400000US13057090602","Census Tract 906.02, Cherokee County, Georgia","57261","7496",
"1400000US13057090701","Census Tract 907.01, Cherokee County, Georgia","64297","8045",
"1400000US13057090702","Census Tract 907.02, Cherokee County, Georgia","53307","5265",
"1400000US13057090802","Census Tract 908.02, Cherokee County, Georgia","89191","10198",
"1400000US13057090803","Census Tract 908.03, Cherokee County, Georgia","87354","10645",
"1400000US13057090804","Census Tract 908.04, Cherokee County, Georgia","82500","16159",
"1400000US13057090901","Census Tract 909.01, Cherokee County, Georgia","82100","12377",
"1400000US13057090902","Census Tract 909.02, Cherokee County, Georgia","81094","11200",
"1400000US13057090904","Census Tract 909.04, Cherokee County, Georgia","61183","9839",
"1400000US13057090905","Census Tract 909.05, Cherokee County, Georgia","57100","13162",
"1400000US13057091001","Census Tract 910.01, Cherokee County, Georgia","51493","6428",
"1400000US13057091003","Census Tract 910.03, Cherokee County, Georgia","44156","6799",
"1400000US13057091005","Census Tract 910.05, Cherokee County, Georgia","50613","11745",
"1400000US13057091006","Census Tract 910.06, Cherokee County, Georgia","86367","14801",
"1400000US13057091007","Census Tract 910.07, Cherokee County, Georgia","107681","17519",
"1400000US13057091008","Census Tract 910.08, Cherokee County, Georgia","101766","10856",
"1400000US13057091101","Census Tract 911.01, Cherokee County, Georgia","65949","10646",
"1400000US13057091102","Census Tract 911.02, Cherokee County, Georgia","65573","15042",
"1400000US13057091103","Census Tract 911.03, Cherokee County, Georgia","67832","8231",
"1400000US13059000100","Census Tract 1, Clarke County, Georgia","7422","4433",
"1400000US13059000401","Census Tract 4.01, Clarke County, Georgia","15352","3364",
"1400000US13059000402","Census Tract 4.02, Clarke County, Georgia","null","null",
"1400000US13059000600","Census Tract 6, Clarke County, Georgia","15788","2894",
"1400000US13059000900","Census Tract 9, Clarke County, Georgia","16043","1541",
"1400000US13059001200","Census Tract 12, Clarke County, Georgia","48563","18908",
"1400000US13059001700","Census Tract 17, Clarke County, Georgia","54240","3951",
"1400000US13059001800","Census Tract 18, Clarke County, Georgia","38750","15017",
"1400000US13059001900","Census Tract 19, Clarke County, Georgia","28224","7886",
"1400000US13059002000","Census Tract 20, Clarke County, Georgia","36528","8851",
"1400000US13059002100","Census Tract 21, Clarke County, Georgia","27061","5884",
"1400000US13059002200","Census Tract 22, Clarke County, Georgia","33393","11569",
