"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment","95% Confidence Interval","Confidence Interval Low","Confidence Interval High",
"13","Georgia","13013180108","Barrow County, GA - 13013180108","2019","7.3%","","(6.7% - 7.9%)","6.7%","7.9%",
"13","Georgia","13013180108","Barrow County, GA - 13013180108","2020","6.5%","","(5.8% - 7.3%)","5.8%","7.3%",
"13","Georgia","13013180108","Barrow County, GA - 13013180108","2021","6.4%","","(5.6% - 7.4%)","5.6%","7.4%",
"13","Georgia","13013180108","Barrow County, GA - 13013180108","2022","7.7%","","(7.0% - 8.5%)","7.0%","8.5%",
"13","Georgia","13013180203","Barrow County, GA - 13013180203","2018","10.1%","","(9.4% - 10.9%)","9.4%","10.9%",
"13","Georgia","13013180203","Barrow County, GA - 13013180203","2019","9.9%","","(9.1% - 10.7%)","9.1%","10.7%",
"13","Georgia","13013180203","Barrow County, GA - 13013180203","2020","9.1%","","(8.2% - 10.1%)","8.2%","10.1%",
"13","Georgia","13013180203","Barrow County, GA - 13013180203","2021","9.0%","","(7.8% - 10.3%)","7.8%","10.3%",
"13","Georgia","13013180203","Barrow County, GA - 13013180203","2022","10.0%","","(9.0% - 11.0%)","9.0%","11.0%",
"13","Georgia","13013180204","Barrow County, GA - 13013180204","2018","9.6%","","(8.3% - 10.8%)","8.3%","10.8%",
"13","Georgia","13013180204","Barrow County, GA - 13013180204","2019","8.6%","","(7.5% - 9.9%)","7.5%","9.9%",
"13","Georgia","13013180204","Barrow County, GA - 13013180204","2020","7.8%","","(6.7% - 9.1%)","6.7%","9.1%",
"13","Georgia","13013180204","Barrow County, GA - 13013180204","2021","7.7%","","(6.5% - 9.1%)","6.5%","9.1%",
"13","Georgia","13013180204","Barrow County, GA - 13013180204","2022","7.9%","","(7.1% - 8.7%)","7.1%","8.7%",
"13","Georgia","13013180205","Barrow County, GA - 13013180205","2018","9.2%","","(8.4% - 10.1%)","8.4%","10.1%",
"13","Georgia","13013180205","Barrow County, GA - 13013180205","2019","9.3%","","(8.5% - 10.3%)","8.5%","10.3%",
"13","Georgia","13013180205","Barrow County, GA - 13013180205","2020","8.5%","","(7.5% - 9.6%)","7.5%","9.6%",
"13","Georgia","13013180205","Barrow County, GA - 13013180205","2021","8.4%","","(7.1% - 9.8%)","7.1%","9.8%",
"13","Georgia","13013180205","Barrow County, GA - 13013180205","2022","8.7%","","(7.9% - 9.7%)","7.9%","9.7%",
"13","Georgia","13013180206","Barrow County, GA - 13013180206","2018","8.9%","","(7.6% - 10.2%)","7.6%","10.2%",
"13","Georgia","13013180206","Barrow County, GA - 13013180206","2019","8.4%","","(7.1% - 9.7%)","7.1%","9.7%",
"13","Georgia","13013180206","Barrow County, GA - 13013180206","2020","7.7%","","(6.5% - 9.0%)","6.5%","9.0%",
"13","Georgia","13013180206","Barrow County, GA - 13013180206","2021","7.5%","","(6.1% - 9.1%)","6.1%","9.1%",
"13","Georgia","13013180206","Barrow County, GA - 13013180206","2022","7.4%","","(6.7% - 8.2%)","6.7%","8.2%",
"13","Georgia","13013180301","Barrow County, GA - 13013180301","2018","7.4%","","(6.3% - 8.5%)","6.3%","8.5%",
"13","Georgia","13013180301","Barrow County, GA - 13013180301","2019","8.0%","","(6.8% - 9.2%)","6.8%","9.2%",
"13","Georgia","13013180301","Barrow County, GA - 13013180301","2020","7.3%","","(6.2% - 8.4%)","6.2%","8.4%",
"13","Georgia","13013180301","Barrow County, GA - 13013180301","2021","7.1%","","(5.8% - 8.5%)","5.8%","8.5%",
"13","Georgia","13013180301","Barrow County, GA - 13013180301","2022","7.8%","","(7.0% - 8.7%)","7.0%","8.7%",
"13","Georgia","13013180302","Barrow County, GA - 13013180302","2018","7.4%","","(6.7% - 8.3%)","6.7%","8.3%",
"13","Georgia","13013180302","Barrow County, GA - 13013180302","2019","7.2%","","(6.5% - 8.0%)","6.5%","8.0%",
"13","Georgia","13013180302","Barrow County, GA - 13013180302","2020","6.5%","","(5.6% - 7.4%)","5.6%","7.4%",
"13","Georgia","13013180302","Barrow County, GA - 13013180302","2021","6.4%","","(5.5% - 7.4%)","5.5%","7.4%",
"13","Georgia","13013180302","Barrow County, GA - 13013180302","2022","9.7%","","(8.8% - 10.8%)","8.8%","10.8%",
"13","Georgia","13013180303","Barrow County, GA - 13013180303","2018","9.4%","","(8.3% - 10.3%)","8.3%","10.3%",
"13","Georgia","13013180303","Barrow County, GA - 13013180303","2019","8.6%","","(7.7% - 9.6%)","7.7%","9.6%",
"13","Georgia","13013180303","Barrow County, GA - 13013180303","2020","7.8%","","(6.7% - 9.0%)","6.7%","9.0%",
"13","Georgia","13013180303","Barrow County, GA - 13013180303","2021","7.6%","","(6.5% - 8.9%)","6.5%","8.9%",
"13","Georgia","13013180303","Barrow County, GA - 13013180303","2022","6.9%","","(6.2% - 7.7%)","6.2%","7.7%",
"13","Georgia","13013180401","Barrow County, GA - 13013180401","2018","6.9%","","(6.1% - 7.8%)","6.1%","7.8%",
